PWSID,SAMP_DATE,SAMP_TIME,LAB_NUM,ANADATE,INDATE,METHOD,INBY,SPECIAL,STORE_NUM,XMOD,FINDING,CHEMICAL,AKA1,AKA2,CLS,RPT_CDE,RPT_UNIT,MCL,NL,TRIGGER_AM,DLR,PHG,RPHL,CHEM_SORT,Water System Name,Principal County Served,Federal Water System Type -CODE,Federal Water System Type,State Water System Type -CODE,State Water System Type,Water System Status -CODE,Water System Status,Owner Type -CODE,Owner Type,Primary Water Source Type -CODE,Primary Water Source Type,Residential Population,Non Transient Population,Transient Population,Total Population,Number of Service Connections Agricultural,Number of COMBINED Service Connections (CB),Number of Commercial (CM) Service Connections,Numer of Institutional Service Conections,Number of Residential Service Connections,Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class-CODE,Treatment Plant Class,Distribution System Class-CODE,Distribution System Class
103041,2014-12-22,1339,5810,2014-12-31,2015-01-27,NA,#,S,00620,<,0,NITRITE (AS N),NA,NA,T,NI,MG/L,1,0,0.5,0.4,1,0,NITRITE (AS N),TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2014-12-22,1339,5810,2014-12-31,2015-01-27,NA,#,S,71850,NA,8.2,NITRATE (AS NO3),NA,NA,T,NI,MG/L,45,0,23,2,45,45,NITRATE (AS NO3),TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,13,2015-08-14,2015-08-18,NA,A,S,34676,<,0,"2,3,7,8-TCDD (DIOXIN)",DIOXIN,NA,A,S2,PG/L,30,0,5,5,0,0,"DIOXIN (2,3,7,8-TCDD)",TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-15,2015-08-18,NA,#,S,00081,<,0,COLOR,"COLOR, APPARENT (UNFILTERED)",NA,T,GP,UNITS,15,0,15,0,0,0,COLOR,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-15,2015-08-18,NA,#,S,00086,<,0,ODOR THRESHOLD @ 60 C,NA,NA,T,GP,TON,3,0,3,1,0,0,ODOR THRESHOLD @ 60 C,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-15,2015-08-18,NA,#,S,00095,NA,600,SPECIFIC CONDUCTANCE,E.C.,NA,T,GP,US,1600,0,900,0,0,0,SPECIFIC CONDUCTANCE,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-15,2015-08-18,NA,#,S,00403,NA,7.8,"PH, LABORATORY",NA,NA,T,GP,NA,0,0,0,0,0,0,"PH, LABORATORY",TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-15,2015-08-18,NA,#,S,00410,NA,230,ALKALINITY (TOTAL) AS CACO3,NA,NA,T,XX,MG/L,0,0,0,0,0,0,ALKALINITY (TOTAL) AS CACO3,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-15,2015-08-18,NA,#,S,00440,NA,280,BICARBONATE ALKALINITY,HCO3,BICARBONATE,T,GP,MG/L,0,0,0,0,0,0,BICARBONATE ALKALINITY,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-15,2015-08-18,NA,#,S,00445,<,0,CARBONATE ALKALINITY,CO3,CARBONATE,T,GP,MG/L,0,0,0,0,0,0,CARBONATE ALKALINITY,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-15,2015-08-18,NA,#,S,00620,<,0,NITRITE (AS N),NA,NA,T,NI,MG/L,1,0,0.5,0.4,1,0,NITRITE (AS N),TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-22,2015-08-18,NA,#,S,00900,NA,200,HARDNESS (TOTAL) AS CACO3,NA,NA,T,GP,MG/L,0,0,0,0,0,0,HARDNESS (TOTAL) AS CACO3,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-22,2015-08-18,NA,#,S,00916,NA,40,CALCIUM,CA,NA,T,GP,MG/L,0,0,0,0,0,0,CALCIUM,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-22,2015-08-18,NA,#,S,00927,NA,25,MAGNESIUM,MG,NA,T,GP,MG/L,0,0,0,0,0,0,MAGNESIUM,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-22,2015-08-18,NA,#,S,00929,NA,55,SODIUM,"NA",NA,T,GP,MG/L,0,0,0,0,0,0,SODIUM,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-22,2015-08-18,NA,#,S,00937,<,0,POTASSIUM,K,NA,T,XX,MG/L,0,0,0,0,0,0,POTASSIUM,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-15,2015-08-18,NA,#,S,00940,NA,34,CHLORIDE,CL,NA,T,GP,MG/L,500,0,500,0,0,0,CHLORIDE,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-15,2015-08-18,NA,#,S,00945,NA,26,SULFATE,SO4,NA,T,GP,MG/L,500,0,250,0.5,0,0,SULFATE,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-15,2015-08-18,NA,#,S,00951,NA,0.1,FLUORIDE (F) (NATURAL-SOURCE),F,NA,T,IO,MG/L,2,0,2,0,1,1,FLUORIDE (F) (NATURAL-SOURCE),TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-16,2015-08-18,NA,#,S,01002,NA,2.3,ARSENIC,AS,NA,T,IO,UG/L,10,0,5,2,0,0,ARSENIC,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-22,2015-08-18,NA,#,S,01007,NA,110,BARIUM,BA,NA,T,IO,UG/L,1000,0,1000,100,2000,600,BARIUM,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-16,2015-08-18,NA,#,S,01012,<,0,BERYLLIUM,NA,NA,T,IO,UG/L,4,0,4,1,1,0,BERYLLIUM,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-16,2015-08-18,NA,#,S,01027,<,0,CADMIUM,CD,NA,T,IO,UG/L,5,0,5,1,0,0,CADMIUM,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-16,2015-08-18,NA,#,S,01034,<,0,CHROMIUM (TOTAL),CR,NA,T,IO,UG/L,50,0,50,10,0,2,CHROMIUM (TOTAL),TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-16,2015-08-18,NA,#,S,01042,<,0,COPPER,CU,NA,T,IO,UG/L,1000,0,1000,50,300,0,COPPER,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-22,2015-08-18,NA,#,S,01045,<,0,IRON,FE,NA,T,GP,UG/L,300,0,300,100,0,0,IRON,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-16,2015-08-18,NA,#,S,01051,<,0,LEAD,PB,NA,T,IO,UG/L,0,0,15,5,0,0,LEAD,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-22,2015-08-18,NA,#,S,01055,<,0,MANGANESE,MN,NA,NL,XX,UG/L,50,500,50,20,0,0,MANGANESE,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-16,2015-08-18,NA,#,S,01059,<,0,THALLIUM,NA,NA,T,IO,UG/L,2,0,2,1,0,0,THALLIUM,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-16,2015-08-18,NA,#,S,01067,<,0,NICKEL,NA,NA,T,IO,UG/L,100,0,100,10,12,0,NICKEL,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-16,2015-08-18,NA,#,S,01077,<,0,SILVER,AG,NA,T,IO,UG/L,100,0,100,10,0,0,SILVER,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-22,2015-08-18,NA,#,S,01092,<,0,ZINC,ZN,NA,T,GP,UG/L,5000,0,5000,50,0,0,ZINC,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-16,2015-08-18,NA,#,S,01097,<,0,ANTIMONY,NA,NA,T,IO,UG/L,6,0,6,6,1,0,ANTIMONY,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-22,2015-08-18,NA,#,S,01105,<,0,ALUMINUM,NA,NA,T,IO,UG/L,1000,0,200,50,600,600,ALUMINUM,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-16,2015-08-18,NA,#,S,01147,<,0,SELENIUM,SE,NA,T,IO,UG/L,50,0,50,5,30,10,SELENIUM,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-22,2015-08-18,NA,#,S,01291,<,0,CYANIDE,NA,NA,T,IO,UG/L,150,0,150,100,150,0,CYANIDE,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-21,2015-08-18,NA,#,S,32101,<,0,BROMODICHLOROMETHANE (THM),DICHLOROBROMOMETHANE,NA,DB,DBP,UG/L,0,0,0,1,60,0,BROMODICHLORMETHANE (THM),TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-21,2015-08-18,NA,#,S,32102,<,0,CARBON TETRACHLORIDE,NA,NA,P,S1,UG/L,0.5,0,0.5,0.5,0,0,CARBON TETRACHLORIDE,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-21,2015-08-18,NA,#,S,32104,<,0,BROMOFORM (THM),BROMOFORM,NA,DB,DBP,UG/L,0,0,0,1,500,0,BROMOFORM (THM),TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
103041,2015-07-14,1240,5810,2015-07-21,2015-08-18,NA,#,S,32105,<,0,DIBROMOCHLOROMETHANE (THM),CHLORODIBROMOMETHANE,NA,DB,DBP,UG/L,0,0,0,1,100,0,DIBROMOCHLOROMETHANE (THM),TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,ACTIVE,P,Private,GW,Groundwater,543,NA,NA,543,NA,194,NA,NA,NA,194,SC,Small Community,1/27/2015,SAN LEANDRO,NA,#N/A,D1,Distribution Operator Level 1
